CG10002	fkh	FBgn0000659	Drosophila melanogaster
CG10016	drm	FBgn0024244	Drosophila melanogaster
CG10021	bowl	FBgn0004893	Drosophila melanogaster
CG10034	tj	FBgn0000964	Drosophila melanogaster
CG10037	vvl	FBgn0086680	Drosophila melanogaster
CG10052	Rx	FBgn0020617	Drosophila melanogaster
CG10147	CG10147	FBgn0035702	Drosophila melanogaster
CG10197	kn	FBgn0001319	Drosophila melanogaster
CG1024	CG1024	FBgn0027514	Drosophila melanogaster
CG10250	nau	FBgn0002922	Drosophila melanogaster
CG10267	Zif	FBgn0037446	Drosophila melanogaster
CG10269	D19A	FBgn0022935	Drosophila melanogaster
CG10270	D19B	FBgn0022699	Drosophila melanogaster
CG10274	CG10274	FBgn0035690	Drosophila melanogaster
CG10278	GATAe	FBgn0038391	Drosophila melanogaster
CG1028	Antp	FBgn0260642	Drosophila melanogaster
CG10296	Hr83	FBgn0037436	Drosophila melanogaster
CG1030	Scr	FBgn0003339	Drosophila melanogaster
CG10309	pad	FBgn0038418	Drosophila melanogaster
CG10321	CG10321	FBgn0034643	Drosophila melanogaster
CG10325	abd-A	FBgn0000014	Drosophila melanogaster
CG1034	bcd	FBgn0000166	Drosophila melanogaster
CG10348	CG10348	FBgn0032707	Drosophila melanogaster
CG10388	Ubx	FBgn0003944	Drosophila melanogaster
CG10390	mia	FBgn0014342	Drosophila melanogaster
CG10393	amos	FBgn0003270	Drosophila melanogaster
CG10446	Sidpn	FBgn0032741	Drosophila melanogaster
CG10447	Nf-YB	FBgn0032816	Drosophila melanogaster
CG1046	zen	FBgn0004053	Drosophila melanogaster
CG10462	CG10462	FBgn0032815	Drosophila melanogaster
CG1048	zen2	FBgn0004054	Drosophila melanogaster
CG10488	eyg	FBgn0000625	Drosophila melanogaster
CG10571	ara	FBgn0015904	Drosophila melanogaster
CG10601	mirr	FBgn0014343	Drosophila melanogaster
CG10604	bsh	FBgn0000529	Drosophila melanogaster
CG10605	caup	FBgn0015919	Drosophila melanogaster
CG10619	tup	FBgn0003896	Drosophila melanogaster
CG10631	CG10631	FBgn0032817	Drosophila melanogaster
CG10654	CG10654	FBgn0036294	Drosophila melanogaster
CG10669	CG10669	FBgn0039329	Drosophila melanogaster
CG10699	Lim3	FBgn0002023	Drosophila melanogaster
CG1070	Alh	FBgn0261238	Drosophila melanogaster
CG10704	toe	FBgn0036285	Drosophila melanogaster
CG1071	E2f2	FBgn0024371	Drosophila melanogaster
CG1072	Awh	FBgn0013751	Drosophila melanogaster
CG10798	Myc	FBgn0262656	Drosophila melanogaster
CG10959	CG10959	FBgn0030010	Drosophila melanogaster
CG11049	sv	FBgn0005561	Drosophila melanogaster
CG11085	CG11085	FBgn0030408	Drosophila melanogaster
CG11093	fuss	FBgn0039932	Drosophila melanogaster
CG11094	dsx	FBgn0000504	Drosophila melanogaster
CG11121	so	FBgn0003460	Drosophila melanogaster
CG11152	fd102C	FBgn0039937	Drosophila melanogaster
CG11153	Sox102F	FBgn0039938	Drosophila melanogaster
CG11172	NFAT	FBgn0030505	Drosophila melanogaster
CG11182	PHDP	FBgn0025334	Drosophila melanogaster
CG11186	toy	FBgn0019650	Drosophila melanogaster
CG11194	Hey	FBgn0027788	Drosophila melanogaster
CG11202	org-1	FBgn0021767	Drosophila melanogaster
CG11247	CG11247	FBgn0037120	Drosophila melanogaster
CG11294	CG11294	FBgn0030058	Drosophila melanogaster
CG1130	scrt	FBgn0004880	Drosophila melanogaster
CG1132	FoxL1	FBgn0004895	Drosophila melanogaster
CG1133	opa	FBgn0003002	Drosophila melanogaster
CG11352	jim	FBgn0027339	Drosophila melanogaster
CG11354	Lim1	FBgn0026411	Drosophila melanogaster
CG11387	ct	FBgn0004198	Drosophila melanogaster
CG11398	CG11398	FBgn0040366	Drosophila melanogaster
CG11405	Atf3	FBgn0028550	Drosophila melanogaster
CG11450	net	FBgn0002931	Drosophila melanogaster
CG11456	CG11456	FBgn0037031	Drosophila melanogaster
CG11491	br	FBgn0283451	Drosophila melanogaster
CG11502	svp	FBgn0003651	Drosophila melanogaster
CG11551	ind	FBgn0025776	Drosophila melanogaster
CG11617	CG11617	FBgn0031232	Drosophila melanogaster
CG11648	Abd-B	FBgn0000015	Drosophila melanogaster
CG11695	CG11695	FBgn0030316	Drosophila melanogaster
CG11696	CG11696	FBgn0030314	Drosophila melanogaster
CG11762	ouib	FBgn0037618	Drosophila melanogaster
CG11783	Hr96	FBgn0015240	Drosophila melanogaster
CG11798	chn	FBgn0015371	Drosophila melanogaster
CG11799	FoxK	FBgn0036134	Drosophila melanogaster
CG11849	dan	FBgn0039286	Drosophila melanogaster
CG11902	CG11902	FBgn0028647	Drosophila melanogaster
CG11906	CG11906	FBgn0034425	Drosophila melanogaster
CG11921	fd96Ca	FBgn0004897	Drosophila melanogaster
CG11922	fd96Cb	FBgn0004898	Drosophila melanogaster
CG11924	Cf2	FBgn0000286	Drosophila melanogaster
CG11966	ich	FBgn0286204	Drosophila melanogaster
CG11987	tgo	FBgn0264075	Drosophila melanogaster
CG11992	Rel	FBgn0014018	Drosophila melanogaster
CG12029	dar1	FBgn0263239	Drosophila melanogaster
CG12052	lola	FBgn0283521	Drosophila melanogaster
CG12071	CG12071	FBgn0039808	Drosophila melanogaster
CG12154	oc	FBgn0004102	Drosophila melanogaster
CG12212	peb	FBgn0003053	Drosophila melanogaster
CG12219	CG12219	FBgn0043796	Drosophila melanogaster
CG12236	CG12236	FBgn0029822	Drosophila melanogaster
CG12245	gcm	FBgn0014179	Drosophila melanogaster
CG12287	pdm2	FBgn0004394	Drosophila melanogaster
CG12296	klu	FBgn0013469	Drosophila melanogaster
CG12299	CG12299	FBgn0032295	Drosophila melanogaster
CG1233	CG1233	FBgn0035137	Drosophila melanogaster
CG12391	CG12391	FBgn0033581	Drosophila melanogaster
CG12399	Mad	FBgn0011648	Drosophila melanogaster
CG1240	Non2	FBgn0035370	Drosophila melanogaster
CG1244	MEP-1	FBgn0035357	Drosophila melanogaster
CG12605	CG12605	FBgn0035481	Drosophila melanogaster
CG12609	CG12609	FBgn0030952	Drosophila melanogaster
CG12630	tio	FBgn0028979	Drosophila melanogaster
CG1264	lab	FBgn0002522	Drosophila melanogaster
CG12653	btd	FBgn0000233	Drosophila melanogaster
CG12690	CHES-1-like	FBgn0029504	Drosophila melanogaster
CG12701	zld	FBgn0259789	Drosophila melanogaster
CG12767	Dlip3	FBgn0040465	Drosophila melanogaster
CG12769	CG12769	FBgn0033252	Drosophila melanogaster
CG12952	sage	FBgn0037672	Drosophila melanogaster
CG13123	CG13123	FBgn0032150	Drosophila melanogaster
CG13204	CG13204	FBgn0033627	Drosophila melanogaster
CG1322	zfh1	FBgn0004606	Drosophila melanogaster
CG13316	Mnt	FBgn0023215	Drosophila melanogaster
CG13424	lms	FBgn0034520	Drosophila melanogaster
CG1343	Sp1	FBgn0020378	Drosophila melanogaster
CG13475	HGTX	FBgn0040318	Drosophila melanogaster
CG13493	comr	FBgn0034667	Drosophila melanogaster
CG13624	REPTOR	FBgn0039209	Drosophila melanogaster
CG13651	danr	FBgn0039283	Drosophila melanogaster
CG1374	tsh	FBgn0003866	Drosophila melanogaster
CG1378	tll	FBgn0003720	Drosophila melanogaster
CG13897	hng3	FBgn0035160	Drosophila melanogaster
CG13906	nerfin-1	FBgn0028999	Drosophila melanogaster
CG14029	vri	FBgn0016076	Drosophila melanogaster
CG1414	bbx	FBgn0024251	Drosophila melanogaster
CG1429	Mef2	FBgn0011656	Drosophila melanogaster
CG14307	fru	FBgn0004652	Drosophila melanogaster
CG1447	Ptx1	FBgn0020912	Drosophila melanogaster
CG1449	zfh2	FBgn0004607	Drosophila melanogaster
CG1454	wdn	FBgn0005642	Drosophila melanogaster
CG14548	E(spl)mbeta-HLH	FBgn0002733	Drosophila melanogaster
CG1464	ey	FBgn0005558	Drosophila melanogaster
CG14655	CG14655	FBgn0037275	Drosophila melanogaster
CG14667	CG14667	FBgn0037317	Drosophila melanogaster
CG14710	CG14710	FBgn0037920	Drosophila melanogaster
CG14711	CG14711	FBgn0037922	Drosophila melanogaster
CG14938	crol	FBgn0020309	Drosophila melanogaster
CG14962	Asciz	FBgn0035407	Drosophila melanogaster
CG15011	CG15011	FBgn0035518	Drosophila melanogaster
CG1507	Pur-alpha	FBgn0022361	Drosophila melanogaster
CG15073	CG15073	FBgn0034379	Drosophila melanogaster
CG15085	edl	FBgn0023214	Drosophila melanogaster
CG15162	MESR3	FBgn0032694	Drosophila melanogaster
CG15269	CG15269	FBgn0028878	Drosophila melanogaster
CG1529	CG1529	FBgn0031144	Drosophila melanogaster
CG15436	CG15436	FBgn0031610	Drosophila melanogaster
CG15479	Mabi	FBgn0032493	Drosophila melanogaster
CG15504	dmrt99B	FBgn0039683	Drosophila melanogaster
CG15552	Sox100B	FBgn0024288	Drosophila melanogaster
CG15696	CG15696	FBgn0038833	Drosophila melanogaster
CG15725	CG15725	FBgn0030417	Drosophila melanogaster
CG15749	dmrt11E	FBgn0030477	Drosophila melanogaster
CG15845	Adf1	FBgn0284249	Drosophila melanogaster
CG1602	CG1602	FBgn0033186	Drosophila melanogaster
CG1605	az2	FBgn0025185	Drosophila melanogaster
CG1641	sisA	FBgn0003411	Drosophila melanogaster
CG1650	unpg	FBgn0015561	Drosophila melanogaster
CG1663	CG1663	FBgn0033449	Drosophila melanogaster
CG16738	slp1	FBgn0003430	Drosophila melanogaster
CG16801	Hr51	FBgn0034012	Drosophila melanogaster
CG1689	lz	FBgn0002576	Drosophila melanogaster
CG1705	Met	FBgn0002723	Drosophila melanogaster
CG17077	pnt	FBgn0003118	Drosophila melanogaster
CG17100	cwo	FBgn0259938	Drosophila melanogaster
CG17117	hth	FBgn0001235	Drosophila melanogaster
CG17172	ATbp	FBgn0039946	Drosophila melanogaster
CG17181	Kah	FBgn0035144	Drosophila melanogaster
CG17228	pros	FBgn0004595	Drosophila melanogaster
CG17328	CG17328	FBgn0028895	Drosophila melanogaster
CG17359	CG17359	FBgn0036396	Drosophila melanogaster
